user_id,status_id,created_at,created_at_date,pull_date,date_difference,screen_name,text,source,favorite_count,ln_favorite_count,favorite_count_prop,ln_favorite_count_prop,retweet_count,ln_retweet_count,retweet_count_prop,ln_retweet_count_prop,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,WC_mc,social_engagement_index,buzz,polarity,politically_oriented
x18554022,x1177382502387703809,9/27/2019 0:40,9/27/2019,11/19/2020,419,JulietMacur,The Clintons’ upcoming book is about female heroes who “get the job done.” FloJo got the job done alright. But how? I wonder if the suspicions of doping made the final cut. https://t.co/ZpxIbi4zj4,nytimes,27,3.33220451,0.064439141,0.062448032,3,1.386294361,0.007159905,0.007134394,37,82.06,39.34,10.62,25.77,7.4,13.51,81.08,40.54,5.41,2.7,2.7,0,0,0,0,2.7,13.51,5.41,8.11,5.41,8.11,0,18.92,5.41,0,5.41,0,0,10.81,5.41,5.41,2.7,0,0,5.41,0,0,2.7,0,16.22,5.41,5.41,2.7,5.41,0,5.41,0,0,0,0,0,0,0,0,0,5.41,0,0,0,5.41,0,10.81,8.11,2.7,2.7,0,0,2.7,8.11,2.7,0,0,0,0,5.41,0,2.7,2.7,0,0,27.03,10.81,0,0,0,2.7,0,0,5.41,2.7,0,5.41,12.98600969,0.034791213,0,1,0
x19714682,x116195075666624513,9/20/2011 17:00,9/20/2011,11/19/2020,3348,DwightGarner,Tom Bissell profiles Jim Harrison in Outside. Great match. http://t.co/Rj0DGAmb,nytimes,0,0,0,0,7,2.079441542,0.0020908,0.002088618,14,99,50,13.15,99,4.67,35.71,28.57,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,7.14,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,35.71,21.43,0,0,0,0,0,0,0,0,0,14.29,-10.01399031,0.001044309,0,1,0
x19714682,x99118099269296128,8/4/2011 14:02,8/4/2011,11/19/2020,3395,DwightGarner,Love that @DwightGarner namechecks an Elvis Costello song & @samdolnick links to: http://bit.ly/bhbg2u   #DiggingTheAntiqueArtifacts,nytimes,0,0,0,0,1,0.693147181,0.000294551,0.000294507,17,97.21,72.17,6.2,98.87,17,29.41,47.06,17.65,5.88,0,0,0,0,0,0,5.88,5.88,5.88,0,0,0,0,0,0,0,0,0,5.88,5.88,5.88,0,0,0,0,5.88,0,0,0,0,5.88,5.88,0,0,0,0,0,5.88,0,5.88,0,5.88,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,5.88,0,5.88,0,0,5.88,0,0,0,0,5.88,0,5.88,0,0,0,47.06,5.88,0,5.88,0,0,0,0,0,0,0,35.29,-7.013990314,0.000147254,0,1,0
x22055109,x834403857077764096,2/22/2017 14:05,2/22/2017,11/19/2020,1366,SteveDoocy,"He didn't take the trash out before heading back to college, so his mom mailed it to him! Meet the mom and son behind the viral tweet! https://t.co/93ffnfV14i",foxnews,0,0,0,0,302,5.713732806,0.221083455,0.199738543,33,85.63,98.25,2.4,25.77,11,9.09,78.79,48.48,12.12,9.09,0,0,0,9.09,0,3.03,9.09,15.15,3.03,6.06,6.06,3.03,15.15,3.03,3.03,0,0,0,0,0,0,0,0,0,27.27,9.09,0,6.06,12.12,3.03,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,9.09,6.06,0,0,3.03,0,6.06,6.06,3.03,15.15,3.03,9.09,6.06,3.03,0,0,0,0,0,3.03,0,3.03,0,0,0,21.21,3.03,3.03,0,0,0,6.06,0,0,3.03,0,6.06,8.986009686,0.099869272,0,0,0
x167122787,x1102332697035194369,3/3/2019 22:19,3/3/2019,11/19/2020,627,EricShawnTV,"After #MichaelCohen testified, attention by #Democrats turned to the investigation by federal prosecutors in New York @SDNYnews.  @POTUS @realDonaldTrump calls the shift to probes of his business, the Trump Organization, ""sick.""  Watch analysis @FoxNews: https://t.co/nzcTvTDwOi",foxnews,6,1.945910149,0.009569378,0.009523882,3,1.386294361,0.004784689,0.004773279,39,99,69.6,8.65,2.7,13,35.9,56.41,28.21,2.56,2.56,0,0,0,2.56,0,0,7.69,17.95,0,0,0,0,2.56,7.69,2.56,0,0,0,2.56,0,2.56,0,0,0,5.13,0,0,0,2.56,5.13,5.13,0,0,0,0,0,2.56,2.56,0,0,2.56,0,2.56,0,0,0,0,0,0,0,0,2.56,2.56,0,10.26,2.56,2.56,5.13,10.26,0,0,5.13,0,0,2.56,0,2.56,0,0,0,43.59,7.69,7.69,2.56,0,0,0,0,5.13,0,0,20.51,14.98600969,0.007148581,1,0,1
x21010253,x1163173716597137413,8/18/2019 19:39,8/18/2019,11/19/2020,459,LelandVittert,And @GillianHTurner @pdoocy coming up! https://t.co/umxUCZSALW,foxnews,0,0,0,0,3,1.386294361,0.006535948,0.006514681,10,93.26,50,43.37,25.77,5,20,40,20,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,20,10,10,0,0,0,0,0,0,0,10,0,10,0,0,0,60,10,0,0,0,0,10,0,0,0,0,40,-14.01399031,0.003257341,0,0,0
x18983793,x1308965374927540224,9/24/2020 3:03,9/24/2020,11/19/2020,56,ShannonBream,Following breaking news out of Louisville- Join us now @foxnewsnight @foxnews https://t.co/dxm3m77Kie,foxnews,257,5.552959585,4.589285714,1.7208515,44,3.80666249,0.785714286,0.579818495,16,93.26,89.42,35.37,25.77,16,37.5,43.75,25,6.25,6.25,0,6.25,0,0,0,0,0,12.5,0,6.25,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,0,18.75,6.25,6.25,6.25,0,0,0,0,0,0,6.25,0,6.25,0,0,0,37.5,6.25,0,0,0,0,0,6.25,0,0,0,25,-8.013990314,1.150334998,1,1,1
x21010253,x1216042691718500353,1/11/2020 17:02,1/11/2020,11/19/2020,313,LelandVittert,Still waiting for my tag line @johnnydollar01 https://t.co/HzR9m9xW82,foxnews,3,1.386294361,0.009584665,0.009539023,0,0,0,0,12,81.63,20.24,74.76,25.77,12,25,41.67,25,8.33,8.33,8.33,0,0,0,0,0,0,8.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,8.33,0,8.33,0,0,0,33.33,8.33,0,0,0,0,0,0,0,0,0,25,-12.01399031,0.004769512,0,0,0
x28138045,x708311442299228160,3/11/2016 15:19,3/11/2016,11/19/2020,1714,perezpena,@fluffy_bunny72 what town? what school?,nytimes,0,0,0,0,0,0,0,0,6,18.82,50,23.51,25.77,3,16.67,66.67,33.33,33.33,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,33.33,0,0,0,0,0,33.33,-18.01399031,0,0,0,0
x19714682,x44470195036758016,3/6/2011 18:51,3/6/2011,11/19/2020,3546,DwightGarner,@NicholasWroe lovely profile.,nytimes,0,0,0,0,0,0,0,0,3,93.26,50,1,99,3,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0,0,0,0,0,33.33,-21.01399031,0,0,1,0
x22055109,x886961311959089152,7/17/2017 14:50,7/17/2017,11/19/2020,1221,SteveDoocy,Head of Border Patrol Union: 'Energy' Among Agents Is Best I've Ever Seen @foxandfriends https://t.co/B610qxPPWJ,foxnews,0,0,0,0,242,5.493061443,0.198198198,0.180818927,19,77.17,29.92,50.35,99,19,10.53,68.42,26.32,5.26,5.26,5.26,0,0,0,0,0,0,10.53,10.53,5.26,0,0,15.79,5.26,5.26,0,0,0,10.53,10.53,0,0,0,0,0,0,0,0,0,10.53,0,0,0,5.26,5.26,0,5.26,5.26,0,0,5.26,5.26,0,0,0,10.53,5.26,5.26,5.26,5.26,0,5.26,10.53,0,15.79,0,10.53,5.26,5.26,0,0,0,0,0,5.26,0,5.26,0,0,0,42.11,5.26,0,5.26,0,0,0,0,0,15.79,0,15.79,-5.013990314,0.090409464,0,1,0
x167122787,x1180594400830771200,10/5/2019 21:23,10/5/2019,11/19/2020,411,EricShawnTV,"A possible North Korea missile test for a submarine, as nuclear talks break down, now. Watch:  https://t.co/HDaqMiXc5T. @foxnews #foxnews @foxnewspolitics #DPRK #northkorea #kimjongun @hrf @nknewsorg @38NorthNK @LibertyinNK #nuclear #trump #presidenttrump #missile #SouthKorea",foxnews,1,0.693147181,0.00243309,0.002430135,0,0,0,0,36,98.14,60.95,23.51,77,12,47.22,52.78,16.67,0,0,0,0,0,0,0,0,5.56,8.33,0,2.78,2.78,0,2.78,8.33,2.78,0,0,0,2.78,2.78,0,0,0,0,2.78,0,0,0,0,2.78,0,0,0,2.78,0,0,2.78,2.78,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,8.33,0,16.67,0,11.11,2.78,5.56,0,0,0,0,0,2.78,0,2.78,0,0,0,63.89,8.33,5.56,2.78,0,0,0,0,0,0,0,47.22,11.98600969,0.001215068,1,0,1
x28138045,x1057594288320774144,10/31/2018 11:25,10/31/2018,11/19/2020,750,perezpena,There's a word for people who believe Jesus was the messiah: Christian.,nytimes,0,0,0,0,0,0,0,0,12,81.63,95.2,1.79,25.77,12,25,83.33,50,8.33,0,0,0,0,0,0,8.33,16.67,8.33,16.67,8.33,0,0,25,0,0,8.33,0,0,0,0,0,0,0,0,16.67,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,25,8.33,0,8.33,0,0,0,0,0,8.33,0,0,-12.01399031,0,0,1,0
x28138045,x1054693359313399808,10/23/2018 11:17,10/23/2018,11/19/2020,758,perezpena,"@nytimes I'm sorry, no, $750 for a phone cannot in any way be considered a relief. They've trained us to pay WAY too much.",nytimes,7,2.079441542,0.009234828,0.009192448,1,0.693147181,0.001319261,0.001318392,24,50.33,50,74.76,25.77,12,12.5,87.5,50,12.5,12.5,4.17,4.17,0,0,4.17,0,8.33,12.5,16.67,4.17,0,8.33,20.83,4.17,0,0,4.17,8.33,8.33,4.17,4.17,0,0,4.17,12.5,0,0,0,0,12.5,4.17,0,0,4.17,0,4.17,4.17,0,4.17,0,0,0,0,0,0,4.17,4.17,0,0,0,0,4.17,12.5,0,12.5,0,12.5,0,4.17,0,0,4.17,0,0,0,0,0,0,0,0,33.33,8.33,8.33,0,0,0,0,0,0,8.33,0,8.33,-0.013990314,0.00525542,0,0,0
x18554022,x1266735403006074881,5/30/2020 14:17,5/30/2020,11/19/2020,173,JulietMacur,"These @IndyStar reporters should’ve won the Pulitzer for shining light onto the problem of sex abuse in gymnastics. Their work led to the arrest and conviction of Larry Nassar, a serial child molester who sexually abused more than 200 people, and sparked needed change the sport. https://t.co/XXZbQtAvVz",nytimes,56,4.043051268,0.323699422,0.280430409,7,2.079441542,0.040462428,0.039665256,51,99,72.17,1,1,17,23.53,74.51,35.29,5.88,1.96,0,0,0,0,1.96,3.92,9.8,13.73,1.96,0,3.92,0,5.88,3.92,3.92,1.96,1.96,1.96,9.8,1.96,7.84,0,3.92,0,7.84,0,0,0,0,11.76,0,3.92,5.88,0,0,1.96,3.92,3.92,0,0,3.92,0,0,3.92,0,7.84,0,3.92,1.96,1.96,1.96,7.84,1.96,0,7.84,3.92,3.92,0,3.92,3.92,0,0,0,0,1.96,0,1.96,0,0,0,17.65,5.88,3.92,0,0,0,0,0,0,1.96,0,5.88,26.98600969,0.160047833,0,0,0
x18983793,x1256722249975021575,5/2/2020 23:08,5/2/2020,11/19/2020,201,ShannonBream,Gotta say a ton of people out and about today. Mix of masks and no masks. People eating and drinking in unapproved patio areas outside restaurants and shops. What about where you live?,foxnews,4639,8.442469645,23.07960199,3.181365092,676,6.517671273,3.36318408,1.473202084,33,85.63,88.71,31.94,25.77,8.25,12.12,87.88,48.48,6.06,3.03,0,0,3.03,0,0,3.03,3.03,21.21,0,9.09,12.12,3.03,12.12,0,0,6.06,0,3.03,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0,3.03,0,3.03,0,12.12,0,3.03,0,9.09,0,0,0,0,0,0,0,9.09,3.03,18.18,0,15.15,3.03,0,9.09,3.03,3.03,0,0,3.03,0,3.03,0,0,0,12.12,9.09,0,0,0,3.03,0,0,0,0,0,0,8.986009686,2.327283588,0,0,0
x167122787,x1207819038996533254,12/20/2019 0:24,12/20/2019,11/19/2020,335,EricShawnTV,"My life @Foxnews: One day I am reporting on Jimmy Hoffa, the next I am at the @UN covering Ambassadors Kelly Craft @USAmbUN &amp; @RichardGrenell. Catch ""RIDDLE: THE SEARCH FOR JAMES R. HOFFA"" on @FOXNATION this weekend. #foxnews #foxnation #TheIrishmanFilm #TheIrishman #detroit @UN https://t.co/n8JFcIiafd",foxnews,17,2.890371758,0.050746269,0.049500644,1,0.693147181,0.002985075,0.002980628,48,91.1,41.76,48.89,25.77,12,29.17,52.08,31.25,12.5,10.42,6.25,0,0,0,4.17,2.08,6.25,8.33,4.17,0,0,0,4.17,2.08,0,0,2.08,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,2.08,2.08,0,0,2.08,0,2.08,0,0,0,0,0,0,0,0,0,4.17,0,14.58,2.08,6.25,6.25,2.08,2.08,0,0,0,0,4.17,0,4.17,0,0,0,50,8.33,2.08,4.17,2.08,0,0,0,4.17,0,0,29.17,23.98600969,0.026240636,0,0,1
